origin,destination,airline,flight_num,origin_temp,origin_desc,dest_temp,dest_desc
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2150,17.3,Partly Cloudy,23.2,Partly cloudy
TAM,MEX,4O,2151,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2151,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2151,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2151,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2151,23.2,Partly cloudy,17.3,Partly Cloudy
MEX,TAM,4O,2152,17.3,Partly Cloudy,23.2,Partly cloudy
TAM,MEX,4O,2153,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2153,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2153,23.2,Partly cloudy,17.3,Partly Cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,2154,17.3,Partly Cloudy,23.2,Partly cloudy
TAM,MEX,4O,2155,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2155,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2155,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2155,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2155,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2157,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2157,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2157,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2157,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,2157,23.2,Partly cloudy,17.3,Partly Cloudy
MEX,GDL,4O,2200,17.3,Partly Cloudy,25.1,Partly cloudy
GDL,MEX,4O,2201,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2201,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2203,25.1,Partly cloudy,17.3,Partly Cloudy
MEX,GDL,4O,2204,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2204,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2204,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2206,17.3,Partly Cloudy,25.1,Partly cloudy
GDL,MEX,4O,2207,25.1,Partly cloudy,17.3,Partly Cloudy
MEX,GDL,4O,2208,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2210,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2210,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2210,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2210,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2210,17.3,Partly Cloudy,25.1,Partly cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2211,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2213,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2213,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2213,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2215,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2215,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2215,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2215,25.1,Partly cloudy,17.3,Partly Cloudy
GDL,MEX,4O,2215,25.1,Partly cloudy,17.3,Partly Cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
MEX,GDL,4O,2216,17.3,Partly Cloudy,25.1,Partly cloudy
