origin,destination,airline,flight_num,origin_temp,origin_desc,dest_temp,dest_desc
HMO,MEX,4O,2455,26.1,Sunny,17.3,Partly Cloudy
MEX,CME,4O,2503,17.3,Partly Cloudy,26.7,Sunny
MEX,CME,4O,2503,17.3,Partly Cloudy,26.7,Sunny
CME,MEX,4O,2506,26.7,Sunny,17.3,Partly Cloudy
CME,MEX,4O,2506,26.7,Sunny,17.3,Partly Cloudy
MEX,MID,4O,2522,17.3,Partly Cloudy,26.4,Partly cloudy
MEX,MID,4O,2522,17.3,Partly Cloudy,26.4,Partly cloudy
MID,MEX,4O,2525,26.4,Partly cloudy,17.3,Partly Cloudy
MEX,MID,4O,2526,17.3,Partly Cloudy,26.4,Partly cloudy
MID,MEX,4O,2527,26.4,Partly cloudy,17.3,Partly Cloudy
MEX,CTM,4O,2544,17.3,Partly Cloudy,23.3,Light drizzle
MEX,CTM,4O,2544,17.3,Partly Cloudy,23.3,Light drizzle
CTM,MEX,4O,2547,23.3,Light drizzle,17.3,Partly Cloudy
CTM,MEX,4O,2547,23.3,Light drizzle,17.3,Partly Cloudy
CTM,MEX,4O,2547,23.3,Light drizzle,17.3,Partly Cloudy
CTM,MEX,4O,2547,23.3,Light drizzle,17.3,Partly Cloudy
CTM,MEX,4O,2547,23.3,Light drizzle,17.3,Partly Cloudy
CTM,MEX,4O,2547,23.3,Light drizzle,17.3,Partly Cloudy
MEX,CTM,4O,2548,17.3,Partly Cloudy,23.3,Light drizzle
MEX,CTM,4O,2548,17.3,Partly Cloudy,23.3,Light drizzle
MEX,CTM,4O,2548,17.3,Partly Cloudy,23.3,Light drizzle
MEX,CTM,4O,2548,17.3,Partly Cloudy,23.3,Light drizzle
CTM,MEX,4O,2549,23.3,Light drizzle,17.3,Partly Cloudy
CTM,MEX,4O,2549,23.3,Light drizzle,17.3,Partly Cloudy
VER,MEX,4O,2550,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2550,25.1,Overcast,17.3,Partly Cloudy
MEX,VER,4O,2551,17.3,Partly Cloudy,25.1,Overcast
MEX,VER,4O,2551,17.3,Partly Cloudy,25.1,Overcast
MEX,VER,4O,2551,17.3,Partly Cloudy,25.1,Overcast
MEX,VER,4O,2551,17.3,Partly Cloudy,25.1,Overcast
MEX,VER,4O,2551,17.3,Partly Cloudy,25.1,Overcast
MEX,VER,4O,2551,17.3,Partly Cloudy,25.1,Overcast
MEX,VER,4O,2551,17.3,Partly Cloudy,25.1,Overcast
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
VER,MEX,4O,2554,25.1,Overcast,17.3,Partly Cloudy
MEX,OAX,4O,2626,17.3,Partly Cloudy,17.8,Patchy rain nearby
OAX,MEX,4O,2629,17.8,Patchy rain nearby,17.3,Partly Cloudy
MEX,HUX,4O,2651,17.3,Partly Cloudy,32.2,Patchy rain nearby
MEX,HUX,4O,2651,17.3,Partly Cloudy,32.2,Patchy rain nearby
HUX,MEX,4O,2652,32.2,Patchy rain nearby,17.3,Partly Cloudy
HUX,MEX,4O,2652,32.2,Patchy rain nearby,17.3,Partly Cloudy
MEX,ZIH,4O,2751,17.3,Partly Cloudy,33.0,Sunny
MEX,ZIH,4O,2751,17.3,Partly Cloudy,33.0,Sunny
MEX,ZIH,4O,2751,17.3,Partly Cloudy,33.0,Sunny
MEX,ZIH,4O,2751,17.3,Partly Cloudy,33.0,Sunny
MEX,ZIH,4O,2751,17.3,Partly Cloudy,33.0,Sunny
PVR,MEX,4O,2760,28.8,Partly Cloudy,17.3,Partly Cloudy
PVR,MEX,4O,2760,28.8,Partly Cloudy,17.3,Partly Cloudy
PVR,MEX,4O,2760,28.8,Partly Cloudy,17.3,Partly Cloudy
PVR,MEX,4O,2760,28.8,Partly Cloudy,17.3,Partly Cloudy
PVR,MEX,4O,2760,28.8,Partly Cloudy,17.3,Partly Cloudy
PVR,MEX,4O,2760,28.8,Partly Cloudy,17.3,Partly Cloudy
PVR,MEX,4O,2760,28.8,Partly Cloudy,17.3,Partly Cloudy
MEX,PVR,4O,2761,17.3,Partly Cloudy,28.8,Partly Cloudy
MEX,PVR,4O,2761,17.3,Partly Cloudy,28.8,Partly Cloudy
PVR,MEX,4O,2764,28.8,Partly Cloudy,17.3,Partly Cloudy
MEX,PVR,4O,2765,17.3,Partly Cloudy,28.8,Partly Cloudy
MEX,PVR,4O,2765,17.3,Partly Cloudy,28.8,Partly Cloudy
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,2892,17.3,Partly Cloudy,20.1,Sunny
MEX,HAV,4O,2902,17.3,Partly Cloudy,22.2,Overcast
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2930,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,BOG,4O,2932,17.3,Partly Cloudy,18.4,Partly cloudy
MEX,MIA,4O,2960,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,4O,2960,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,4O,2960,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,LAX,4O,2972,17.3,Partly Cloudy,20.6,Sunny
MEX,LAX,4O,2972,17.3,Partly Cloudy,20.6,Sunny
MEX,JFK,4O,2990,17.3,Partly Cloudy,5.0,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
MEX,TAM,4O,3142,17.3,Partly Cloudy,23.2,Partly cloudy
TAM,MEX,4O,3143,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,3143,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,3143,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,3143,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,3143,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,3143,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,3143,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,3143,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,3143,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,3143,23.2,Partly cloudy,17.3,Partly Cloudy
TAM,MEX,4O,3143,23.2,Partly cloudy,17.3,Partly Cloudy
MEX,TRC,4O,3154,17.3,Partly Cloudy,29.2,Sunny
MEX,PXM,4O,3250,17.3,Partly Cloudy,30.0,Sunny
MEX,PXM,4O,3250,17.3,Partly Cloudy,30.0,Sunny
PXM,MEX,4O,3251,30.0,Sunny,17.3,Partly Cloudy
PXM,MEX,4O,3251,30.0,Sunny,17.3,Partly Cloudy
MEX,CUN,4O,3300,17.3,Partly Cloudy,24.5,Overcast
CUN,MEX,4O,3301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,3301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,3301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,3301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,3301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,3301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,3301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,3301,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,3303,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,3303,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,3303,24.5,Overcast,17.3,Partly Cloudy
CUN,MEX,4O,3303,24.5,Overcast,17.3,Partly Cloudy
ACA,MEX,4O,3706,28.8,Sunny,17.3,Partly Cloudy
MEX,ACA,4O,3707,17.3,Partly Cloudy,28.8,Sunny
ZIH,MEX,4O,3752,33.0,Sunny,17.3,Partly Cloudy
ZIH,MEX,4O,3752,33.0,Sunny,17.3,Partly Cloudy
ZIH,MEX,4O,3752,33.0,Sunny,17.3,Partly Cloudy
ZIH,MEX,4O,3752,33.0,Sunny,17.3,Partly Cloudy
ZIH,MEX,4O,3752,33.0,Sunny,17.3,Partly Cloudy
MEX,PVR,4O,3763,17.3,Partly Cloudy,28.8,Partly Cloudy
MEX,PVR,4O,3763,17.3,Partly Cloudy,28.8,Partly Cloudy
MEX,PVR,4O,3763,17.3,Partly Cloudy,28.8,Partly Cloudy
MEX,PVR,4O,3763,17.3,Partly Cloudy,28.8,Partly Cloudy
MEX,PVR,4O,3763,17.3,Partly Cloudy,28.8,Partly Cloudy
MEX,PVR,4O,3763,17.3,Partly Cloudy,28.8,Partly Cloudy
MEX,MZT,4O,3863,17.3,Partly Cloudy,32.4,Sunny
MEX,GUA,4O,3914,17.3,Partly Cloudy,22.4,Partly cloudy
TLC,MTY,4O,4116,16.1,Partly Cloudy,18.7,Light drizzle
MTY,TLC,4O,4117,18.7,Light drizzle,16.1,Partly Cloudy
AGU,MTY,4O,4191,22.3,Partly cloudy,18.7,Light drizzle
AGU,MTY,4O,4191,22.3,Partly cloudy,18.7,Light drizzle
CUN,MEX,4O,5317,24.5,Overcast,17.3,Partly Cloudy
MEX,LIM,4O,5890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,5890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,5890,17.3,Partly Cloudy,20.1,Sunny
MEX,LIM,4O,5890,17.3,Partly Cloudy,20.1,Sunny
CUN,BOG,4O,6940,24.5,Overcast,18.4,Partly cloudy
CUN,BOG,4O,6940,24.5,Overcast,18.4,Partly cloudy
CUN,BOG,4O,940,24.5,Overcast,18.4,Partly cloudy
CUN,MID,7M,26,24.5,Overcast,26.4,Partly cloudy
MID,VER,7M,26,26.4,Partly cloudy,25.1,Overcast
MID,VER,7M,26,26.4,Partly cloudy,25.1,Overcast
MID,VSA,7M,26,26.4,Partly cloudy,27.2,Partly cloudy
VSA,MID,7M,27,27.2,Partly cloudy,26.4,Partly cloudy
VSA,MID,7M,27,27.2,Partly cloudy,26.4,Partly cloudy
VSA,MID,7M,27,27.2,Partly cloudy,26.4,Partly cloudy
VER,MID,7M,27,25.1,Overcast,26.4,Partly cloudy
VER,MID,7M,27,25.1,Overcast,26.4,Partly cloudy
CUN,BZE,9N,6611,24.5,Overcast,24.1,Light rain
CUN,BZE,9N,6611,24.5,Overcast,24.1,Light rain
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
MEX,MIA,AA,1031,17.3,Partly Cloudy,23.3,Partly cloudy
